algorithm,instance,instance_seed,algorithm_seed,n_jobs,objective_name,status,error,objective,improvement,improvement_rate,iterations,restarts,stop_reason,solution,runtime,evaluations,makespan,average_completion_time,max_lateness,suite
FCFS,n20_seed42,42,,20,total_tardiness,OK,,811,-398,-0.9636803874092009,0,0,rule,"[""J1"", ""J2"", ""J3"", ""J4"", ""J5"", ""J6"", ""J7"", ""J8"", ""J9"", ""J10"", ""J11"", ""J12"", ""J13"", ""J14"", ""J15"", ""J16"", ""J17"", ""J18"", ""J19"", ""J20""]",0.00039029994513839483,1,200,99.95,144,single
SPT,n20_seed42,42,,20,total_tardiness,OK,,413,0,0.0,0,0,rule,"[""J14"", ""J6"", ""J7"", ""J1"", ""J18"", ""J4"", ""J17"", ""J12"", ""J3"", ""J8"", ""J16"", ""J2"", ""J20"", ""J19"", ""J15"", ""J10"", ""J11"", ""J13"", ""J5"", ""J9""]",0.00025209994055330753,1,200,70.45,174,single
EDD,n20_seed42,42,,20,total_tardiness,OK,,358,55,0.13317191283292978,0,0,rule,"[""J1"", ""J9"", ""J6"", ""J4"", ""J18"", ""J19"", ""J3"", ""J16"", ""J14"", ""J10"", ""J7"", ""J2"", ""J13"", ""J17"", ""J15"", ""J20"", ""J11"", ""J5"", ""J12"", ""J8""]",0.00023749994579702616,1,200,93.55,58,single
SPT+LS,n20_seed42,42,,20,total_tardiness,OK,,334,79,0.19128329297820823,2,0,max_iterations,"[""J14"", ""J6"", ""J7"", ""J1"", ""J18"", ""J4"", ""J17"", ""J19"", ""J3"", ""J10"", ""J16"", ""J2"", ""J20"", ""J12"", ""J15"", ""J8"", ""J11"", ""J13"", ""J5"", ""J9""]",0.08970120002049953,381,200,74.95,174,single
Multi-start,n20_seed42,42,42,20,total_tardiness,OK,,496,-83,-0.2009685230024213,2,1,completed; capped=1,"[""J20"", ""J6"", ""J1"", ""J4"", ""J10"", ""J14"", ""J16"", ""J19"", ""J7"", ""J13"", ""J18"", ""J11"", ""J2"", ""J12"", ""J3"", ""J17"", ""J8"", ""J9"", ""J15"", ""J5""]",0.084749799920246,381,200,90.65,141,single
SPT+SA,n20_seed42,42,42,20,total_tardiness,OK,,413,0,0.0,10,0,max_iterations,"[""J14"", ""J6"", ""J7"", ""J1"", ""J18"", ""J4"", ""J17"", ""J12"", ""J3"", ""J8"", ""J16"", ""J2"", ""J20"", ""J19"", ""J15"", ""J10"", ""J11"", ""J13"", ""J5"", ""J9""]",0.0025888000382110476,11,200,70.45,174,single
Multi-start,n20_seed42,42,0,20,total_tardiness,OK,,521,-108,-0.26150121065375304,2,1,completed; capped=1,"[""J14"", ""J19"", ""J17"", ""J6"", ""J1"", ""J18"", ""J12"", ""J3"", ""J4"", ""J10"", ""J15"", ""J8"", ""J5"", ""J20"", ""J7"", ""J16"", ""J9"", ""J2"", ""J11"", ""J13""]",0.08472689997870475,381,200,84.3,128,stability
SPT+SA,n20_seed42,42,0,20,total_tardiness,OK,,375,38,0.09200968523002422,10,0,max_iterations,"[""J14"", ""J6"", ""J7"", ""J1"", ""J18"", ""J4"", ""J17"", ""J12"", ""J3"", ""J10"", ""J16"", ""J2"", ""J19"", ""J20"", ""J15"", ""J8"", ""J11"", ""J13"", ""J5"", ""J9""]",0.002584500005468726,11,200,73.5,174,stability
SPT,n10_seed42,42,,10,total_tardiness,OK,,69,0,0.0,0,0,rule,"[""J6"", ""J7"", ""J1"", ""J4"", ""J3"", ""J8"", ""J2"", ""J10"", ""J5"", ""J9""]",0.00015199999324977398,1,95,34.3,69,scale
SPT+LS,n10_seed42,42,,10,total_tardiness,OK,,0,69,1.0,2,0,max_iterations,"[""J6"", ""J9"", ""J1"", ""J4"", ""J3"", ""J7"", ""J2"", ""J10"", ""J5"", ""J8""]",0.011264600092545152,91,95,45.9,0,scale
SPT+SA,n10_seed42,42,42,10,total_tardiness,OK,,69,0,0.0,10,0,max_iterations,"[""J6"", ""J7"", ""J1"", ""J4"", ""J3"", ""J8"", ""J2"", ""J10"", ""J5"", ""J9""]",0.0014570000348612666,11,95,34.3,69,scale
