evaluation,proposed,current,best,accepted,temperature
1,57.0,57.0,57.0,True,
2,75.0,57.0,57.0,False,
3,75.0,57.0,57.0,False,
4,87.0,57.0,57.0,False,
5,89.0,57.0,57.0,False,
6,50.0,50.0,50.0,True,
7,36.0,36.0,36.0,True,
8,46.0,36.0,36.0,False,
9,57.0,36.0,36.0,False,
10,54.0,36.0,36.0,False,
11,54.0,36.0,36.0,False,
12,50.0,36.0,36.0,False,
13,55.0,36.0,36.0,False,
14,36.0,36.0,36.0,False,
15,54.0,36.0,36.0,False,
16,50.0,36.0,36.0,False,
17,39.0,36.0,36.0,False,
18,72.0,36.0,36.0,False,
19,66.0,36.0,36.0,False,
20,60.0,36.0,36.0,False,
21,72.0,36.0,36.0,False,
22,50.0,36.0,36.0,False,
23,49.0,36.0,36.0,False,
24,56.0,36.0,36.0,False,
25,36.0,36.0,36.0,False,
26,46.0,36.0,36.0,False,
27,66.0,36.0,36.0,False,
28,56.0,36.0,36.0,False,
29,56.0,36.0,36.0,False,
30,36.0,36.0,36.0,False,
31,75.0,36.0,36.0,False,
32,79.0,36.0,36.0,False,
33,60.0,36.0,36.0,False,
34,66.0,36.0,36.0,False,
35,75.0,36.0,36.0,False,
36,65.0,36.0,36.0,False,
37,41.0,36.0,36.0,False,
38,72.0,36.0,36.0,False,
39,36.0,36.0,36.0,False,
40,36.0,36.0,36.0,False,
41,49.0,36.0,36.0,False,
42,66.0,36.0,36.0,False,
43,41.0,36.0,36.0,False,
44,57.0,36.0,36.0,False,
45,50.0,36.0,36.0,False,
46,67.0,36.0,36.0,False,
47,87.0,36.0,36.0,False,
48,87.0,36.0,36.0,False,
49,65.0,36.0,36.0,False,
50,54.0,36.0,36.0,False,
51,75.0,36.0,36.0,False,
52,65.0,36.0,36.0,False,
53,56.0,36.0,36.0,False,
54,56.0,36.0,36.0,False,
55,51.0,36.0,36.0,False,
56,66.0,36.0,36.0,False,
57,60.0,36.0,36.0,False,
58,89.0,36.0,36.0,False,
59,46.0,36.0,36.0,False,
60,56.0,36.0,36.0,False,
61,75.0,36.0,36.0,False,
62,46.0,36.0,36.0,False,
63,46.0,36.0,36.0,False,
64,57.0,36.0,36.0,False,
65,39.0,36.0,36.0,False,
66,89.0,36.0,36.0,False,
67,50.0,36.0,36.0,False,
68,50.0,36.0,36.0,False,
69,65.0,36.0,36.0,False,
70,41.0,36.0,36.0,False,
71,65.0,36.0,36.0,False,
72,66.0,36.0,36.0,False,
73,60.0,36.0,36.0,False,
74,36.0,36.0,36.0,False,
75,89.0,36.0,36.0,False,
76,66.0,36.0,36.0,False,
77,55.0,36.0,36.0,False,
78,75.0,36.0,36.0,False,
79,46.0,36.0,36.0,False,
80,49.0,36.0,36.0,False,
81,50.0,36.0,36.0,False,
82,75.0,36.0,36.0,False,
83,51.0,36.0,36.0,False,
84,79.0,36.0,36.0,False,
85,39.0,36.0,36.0,False,
86,57.0,36.0,36.0,False,
87,56.0,36.0,36.0,False,
88,66.0,36.0,36.0,False,
89,60.0,36.0,36.0,False,
90,51.0,36.0,36.0,False,
91,36.0,36.0,36.0,False,
92,54.0,36.0,36.0,False,
93,56.0,36.0,36.0,False,
94,79.0,36.0,36.0,False,
95,49.0,36.0,36.0,False,
96,49.0,36.0,36.0,False,
97,46.0,36.0,36.0,False,
98,36.0,36.0,36.0,False,
99,55.0,36.0,36.0,False,
100,49.0,36.0,36.0,False,
101,39.0,36.0,36.0,False,
102,75.0,36.0,36.0,False,
103,75.0,36.0,36.0,False,
104,72.0,36.0,36.0,False,
105,66.0,36.0,36.0,False,
106,56.0,36.0,36.0,False,
107,66.0,36.0,36.0,False,
108,46.0,36.0,36.0,False,
109,89.0,36.0,36.0,False,
110,75.0,36.0,36.0,False,
111,49.0,36.0,36.0,False,
112,39.0,36.0,36.0,False,
113,72.0,36.0,36.0,False,
114,87.0,36.0,36.0,False,
115,75.0,36.0,36.0,False,
116,39.0,36.0,36.0,False,
117,56.0,36.0,36.0,False,
118,39.0,36.0,36.0,False,
119,89.0,36.0,36.0,False,
120,57.0,36.0,36.0,False,
121,72.0,36.0,36.0,False,
122,57.0,36.0,36.0,False,
123,87.0,36.0,36.0,False,
124,54.0,36.0,36.0,False,
125,66.0,36.0,36.0,False,
126,87.0,36.0,36.0,False,
127,36.0,36.0,36.0,False,
128,46.0,36.0,36.0,False,
129,39.0,36.0,36.0,False,
130,39.0,36.0,36.0,False,
131,72.0,36.0,36.0,False,
132,56.0,36.0,36.0,False,
133,49.0,36.0,36.0,False,
134,36.0,36.0,36.0,False,
135,51.0,36.0,36.0,False,
136,87.0,36.0,36.0,False,
137,39.0,36.0,36.0,False,
138,75.0,36.0,36.0,False,
139,72.0,36.0,36.0,False,
140,60.0,36.0,36.0,False,
141,41.0,36.0,36.0,False,
142,39.0,36.0,36.0,False,
143,55.0,36.0,36.0,False,
144,55.0,36.0,36.0,False,
145,50.0,36.0,36.0,False,
146,60.0,36.0,36.0,False,
147,75.0,36.0,36.0,False,
148,49.0,36.0,36.0,False,
149,50.0,36.0,36.0,False,
150,46.0,36.0,36.0,False,
