evaluation,proposed,current,best,accepted,temperature
1,57.0,57.0,57.0,True,
2,89.0,57.0,57.0,False,
3,72.0,57.0,57.0,False,
4,79.0,57.0,57.0,False,
5,46.0,46.0,46.0,True,
6,65.0,46.0,46.0,False,
7,60.0,46.0,46.0,False,
8,67.0,46.0,46.0,False,
9,57.0,46.0,46.0,False,
10,79.0,46.0,46.0,False,
11,36.0,36.0,36.0,True,
12,51.0,36.0,36.0,False,
13,67.0,36.0,36.0,False,
14,60.0,36.0,36.0,False,
15,50.0,36.0,36.0,False,
16,72.0,36.0,36.0,False,
17,46.0,36.0,36.0,False,
18,56.0,36.0,36.0,False,
19,56.0,36.0,36.0,False,
20,65.0,36.0,36.0,False,
21,39.0,36.0,36.0,False,
22,39.0,36.0,36.0,False,
23,49.0,36.0,36.0,False,
24,65.0,65.0,36.0,True,
25,46.0,46.0,36.0,True,
26,65.0,46.0,36.0,False,
27,60.0,46.0,36.0,False,
28,67.0,46.0,36.0,False,
29,57.0,46.0,36.0,False,
30,79.0,46.0,36.0,False,
31,36.0,36.0,36.0,True,
32,51.0,36.0,36.0,False,
33,67.0,36.0,36.0,False,
34,60.0,36.0,36.0,False,
35,50.0,36.0,36.0,False,
36,72.0,36.0,36.0,False,
37,46.0,36.0,36.0,False,
38,56.0,36.0,36.0,False,
39,56.0,36.0,36.0,False,
40,65.0,36.0,36.0,False,
41,39.0,36.0,36.0,False,
42,39.0,36.0,36.0,False,
43,49.0,36.0,36.0,False,
44,65.0,65.0,36.0,True,
45,46.0,46.0,36.0,True,
46,65.0,46.0,36.0,False,
47,60.0,46.0,36.0,False,
48,67.0,46.0,36.0,False,
49,57.0,46.0,36.0,False,
50,79.0,46.0,36.0,False,
51,36.0,36.0,36.0,True,
52,51.0,36.0,36.0,False,
53,67.0,36.0,36.0,False,
54,60.0,36.0,36.0,False,
55,50.0,36.0,36.0,False,
56,72.0,36.0,36.0,False,
57,46.0,36.0,36.0,False,
58,56.0,36.0,36.0,False,
59,56.0,36.0,36.0,False,
60,65.0,36.0,36.0,False,
61,39.0,36.0,36.0,False,
62,39.0,36.0,36.0,False,
63,49.0,36.0,36.0,False,
64,54.0,54.0,36.0,True,
65,39.0,39.0,36.0,True,
66,54.0,39.0,36.0,False,
67,41.0,39.0,36.0,False,
68,66.0,39.0,36.0,False,
69,79.0,39.0,36.0,False,
70,75.0,39.0,36.0,False,
71,49.0,39.0,36.0,False,
72,56.0,39.0,36.0,False,
73,56.0,39.0,36.0,False,
74,39.0,39.0,36.0,False,
75,36.0,36.0,36.0,True,
76,51.0,36.0,36.0,False,
77,67.0,36.0,36.0,False,
78,60.0,36.0,36.0,False,
79,50.0,36.0,36.0,False,
80,72.0,36.0,36.0,False,
81,46.0,36.0,36.0,False,
82,56.0,36.0,36.0,False,
83,56.0,36.0,36.0,False,
84,65.0,36.0,36.0,False,
85,39.0,36.0,36.0,False,
86,39.0,36.0,36.0,False,
87,49.0,36.0,36.0,False,
88,51.0,51.0,36.0,True,
89,36.0,36.0,36.0,True,
90,51.0,36.0,36.0,False,
91,67.0,36.0,36.0,False,
92,60.0,36.0,36.0,False,
93,50.0,36.0,36.0,False,
94,72.0,36.0,36.0,False,
95,46.0,36.0,36.0,False,
96,56.0,36.0,36.0,False,
97,56.0,36.0,36.0,False,
98,65.0,36.0,36.0,False,
99,39.0,36.0,36.0,False,
100,39.0,36.0,36.0,False,
101,49.0,36.0,36.0,False,
102,46.0,46.0,36.0,True,
103,65.0,46.0,36.0,False,
104,60.0,46.0,36.0,False,
105,67.0,46.0,36.0,False,
106,57.0,46.0,36.0,False,
107,79.0,46.0,36.0,False,
108,36.0,36.0,36.0,True,
109,51.0,36.0,36.0,False,
110,67.0,36.0,36.0,False,
111,60.0,36.0,36.0,False,
112,50.0,36.0,36.0,False,
113,72.0,36.0,36.0,False,
114,46.0,36.0,36.0,False,
115,56.0,36.0,36.0,False,
116,56.0,36.0,36.0,False,
117,65.0,36.0,36.0,False,
118,39.0,36.0,36.0,False,
119,39.0,36.0,36.0,False,
120,49.0,36.0,36.0,False,
121,50.0,50.0,36.0,True,
122,75.0,50.0,36.0,False,
123,79.0,50.0,36.0,False,
124,72.0,50.0,36.0,False,
125,36.0,36.0,36.0,True,
126,51.0,36.0,36.0,False,
127,67.0,36.0,36.0,False,
128,60.0,36.0,36.0,False,
129,50.0,36.0,36.0,False,
130,72.0,36.0,36.0,False,
131,46.0,36.0,36.0,False,
132,56.0,36.0,36.0,False,
133,56.0,36.0,36.0,False,
134,65.0,36.0,36.0,False,
135,39.0,36.0,36.0,False,
136,39.0,36.0,36.0,False,
137,49.0,36.0,36.0,False,
138,46.0,46.0,36.0,True,
139,56.0,46.0,36.0,False,
140,75.0,46.0,36.0,False,
141,56.0,46.0,36.0,False,
142,51.0,46.0,36.0,False,
143,46.0,46.0,36.0,False,
144,55.0,46.0,36.0,False,
145,50.0,46.0,36.0,False,
146,57.0,46.0,36.0,False,
147,87.0,46.0,36.0,False,
148,39.0,39.0,36.0,True,
149,49.0,39.0,36.0,False,
150,54.0,39.0,36.0,False,
